Date,Value,Anomaly
191711,41.6,-5.1
191712,25.4,-10.6
191801,21.7,-10.6
191802,30.4,-2.5
191803,42.1,0.9
191804,50.7,-0.8
191805,65.3,3.1
191806,67.7,-3.3
191807,74.6,-1.8
191808,76.4,1.7
191809,63.8,-4.3
191810,59.0,1.4
191811,46.5,-0.2
191812,39.4,3.4
191901,35.6,3.3
191902,34.9,2.0
191903,43.2,2.0
191904,49.9,-1.6
191905,62.0,-0.2
191906,70.9,-0.1
191907,75.1,-1.3
191908,71.1,-3.6
191909,67.6,-0.5
191910,59.2,1.6
191911,45.2,-1.5
191912,30.2,-5.8
192001,23.4,-8.9
192002,28.5,-4.4
192003,39.9,-1.3
192004,48.1,-3.4
192005,58.7,-3.5
192006,69.2,-1.8
192007,73.8,-2.6
192008,74.2,-0.5
192009,68.5,0.4
192010,61.1,3.5
192011,44.3,-2.4
192012,37.2,1.2
192101,33.2,0.9
192102,33.9,1.0
192103,48.4,7.2
192104,56.1,4.6
192105,61.2,-1.0
192106,71.1,0.1
192107,77.3,0.9
192108,71.6,-3.1
192109,72.1,4.0
192110,56.3,-1.3
192111,44.7,-2.0
192112,32.3,-3.7
192201,28.2,-4.1
192202,33.6,0.7
192203,41.0,-0.2
192204,51.4,-0.1
192205,64.6,2.4
192206,71.8,0.8
192207,73.7,-2.7
192208,72.3,-2.4
192209,68.2,0.1
192210,58.1,0.5
192211,45.7,-1.0
192212,33.5,-2.5
192301,29.9,-2.4
192302,26.1,-6.8
192303,36.8,-4.4
192304,50.3,-1.2
192305,60.0,-2.2
192306,73.3,2.3
192307,73.7,-2.7
192308,72.6,-2.1
192309,68.3,0.2
192310,56.0,-1.6
192311,45.2,-1.5
192312,42.0,6.0
192401,32.6,0.3
192402,28.8,-4.1
192403,39.1,-2.1
192404,49.1,-2.4
192405,57.3,-4.9
192406,67.8,-3.2
192407,74.1,-2.3
192408,74.2,-0.5
192409,64.1,-4.0
192410,57.0,-0.6
192411,44.3,-2.4
192412,34.0,-2.0
192501,28.4,-3.9
192502,37.8,4.9
192503,44.2,3.0
192504,51.8,0.3
192505,59.5,-2.7
192506,74.3,3.3
192507,73.5,-2.9
192508,73.3,-1.4
192509,68.8,0.7
192510,50.6,-7.0
192511,43.9,-2.8
192512,34.8,-1.2
192601,31.9,-0.4
192602,29.2,-3.7
192603,35.5,-5.7
192604,47.3,-4.2
192605,60.1,-2.1
192606,66.7,-4.3
192607,75.0,-1.4
192608,73.9,-0.8
192609,65.7,-2.4
